#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-10-19
# Final Processing Time: 10:45:14
# Spline RMSE gcc_mean: 0.00387
# Spline RMSE gcc_50: 0.00395
# Spline RMSE gcc_75: 0.00394
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,falling,gcc_90,2017-10-23,2017-10-18,2017-10-10,2017-10-25,2017-10-20,2017-10-13,2017-10-21,2017-10-16,2017-09-29,0.32713,0.34434,0.3757,0.31598,0.4344
harvardbarn2,DB,1000,falling,gcc_90,2016-10-22,2016-10-18,2016-10-12,2016-10-25,2016-10-19,2016-10-14,2016-10-20,2016-10-16,2016-10-11,0.32279,0.33637,0.36716,0.31196,0.42043
harvardbarn2,DB,1000,falling,gcc_90,2015-10-18,2015-10-14,2015-10-07,2015-10-21,2015-10-15,2015-10-09,2015-10-15,2015-10-11,2015-10-05,0.33125,0.34447,0.37334,0.32233,0.42375
harvardbarn2,DB,1000,falling,gcc_90,2014-10-18,2014-10-14,2014-10-09,2014-10-20,2014-10-16,2014-10-11,2014-10-16,2014-10-12,2014-10-08,0.31599,0.33296,0.36381,0.30663,0.4138
harvardbarn2,DB,1000,falling,gcc_90,2013-10-07,2013-09-30,2013-09-19,2013-10-11,2013-10-03,2013-09-23,2013-10-03,2013-09-27,2013-09-16,0.33452,0.34839,0.37317,0.32562,0.41786
harvardbarn2,DB,1000,falling,gcc_90,2012-10-11,2012-10-06,2012-09-29,2012-10-14,2012-10-08,2012-10-02,2012-10-08,2012-10-03,2012-09-26,0.32775,0.34006,0.35996,0.32113,0.39704
harvardbarn2,DB,1000,falling,gcc_75,2019-10-18,2019-10-14,2019-10-08,2019-10-19,2019-10-15,2019-10-10,2019-10-16,2019-10-13,2019-10-06,0.30892,0.32786,0.35743,0.30074,0.41267
harvardbarn2,DB,1000,falling,gcc_75,2018-10-29,2018-10-26,2018-10-13,2018-10-30,2018-10-27,2018-10-16,2018-10-27,2018-10-22,2018-10-11,0.32486,0.33805,0.36223,0.3173,0.4046
harvardbarn2,DB,1000,falling,gcc_75,2017-10-23,2017-10-18,2017-10-08,2017-10-25,2017-10-19,2017-10-12,2017-10-21,2017-10-16,2017-09-28,0.32345,0.33954,0.37132,0.31233,0.4285
harvardbarn2,DB,1000,falling,gcc_75,2016-10-21,2016-10-17,2016-10-11,2016-10-23,2016-10-18,2016-10-13,2016-10-19,2016-10-16,2016-10-10,0.32113,0.33662,0.36603,0.31106,0.41426
